-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.050
-183.800, 80.200, 0.000,  0.100
-183.800, 80.200, -0.012,  0.150
-183.800, 80.198, 0.036,  0.200
-183.800, 80.197, 0.030,  0.250
-183.800, 80.194, 0.097,  0.300
-183.797, 80.185, 0.217,  0.350
-183.794, 80.170, 0.302,  0.400
-183.787, 80.148, 0.500,  0.450
-183.776, 80.122, 0.536,  0.500
-183.763, 80.095, 0.543,  0.550
-183.744, 80.066, 0.618,  0.600
-183.721, 80.034, 0.689,  0.650
-183.695, 80.001, 0.730,  0.700
-183.665, 79.965, 0.813,  0.750
-183.631, 79.925, 0.886,  0.800
-183.595, 79.884, 0.946,  0.850
-183.554, 79.841, 1.003,  0.900
-183.511, 79.797, 1.056,  0.950
-183.464, 79.752, 1.109,  1.000
-183.414, 79.706, 1.156,  1.050
-183.361, 79.660, 1.202,  1.100
-183.305, 79.614, 1.237,  1.150
-183.247, 79.567, 1.295,  1.200
-183.186, 79.519, 1.354,  1.250
-183.123, 79.470, 1.408,  1.300
-183.060, 79.420, 1.454,  1.350
-182.994, 79.370, 1.494,  1.400
-182.928, 79.319, 1.530,  1.450
-182.861, 79.268, 1.562,  1.500
-182.792, 79.217, 1.592,  1.550
-182.723, 79.165, 1.618,  1.600
-182.654, 79.113, 1.642,  1.650
-182.584, 79.061, 1.665,  1.700
-182.514, 79.008, 1.684,  1.750
-182.443, 78.955, 1.704,  1.800
-182.373, 78.901, 1.718,  1.850
-182.303, 78.847, 1.733,  1.900
-182.232, 78.793, 1.739,  1.950
-182.165, 78.734, 1.785,  2.000
-182.104, 78.668, 1.789,  2.050
-182.051, 78.597, 1.765,  2.100
-182.003, 78.524, 1.735,  2.150
-181.960, 78.448, 1.708,  2.200
-181.924, 78.370, 1.678,  2.250
-181.894, 78.289, 1.645,  2.300
-181.872, 78.206, 1.602,  2.350
-181.858, 78.121, 1.546,  2.400
-181.854, 78.035, 1.506,  2.450
-181.856, 77.947, 1.534,  2.500
-181.861, 77.855, 1.581,  2.550
-181.871, 77.761, 1.616,  2.600
-181.885, 77.666, 1.637,  2.650
-181.903, 77.571, 1.662,  2.700
-181.925, 77.475, 1.678,  2.750
-181.944, 77.376, 1.852,  2.800
-181.952, 77.270, 2.021,  2.850
-181.947, 77.163, 2.105,  2.900
-181.931, 77.059, 2.091,  2.950
-181.905, 76.960, 2.027,  3.000
-181.874, 76.866, 1.976,  3.050
-181.836, 76.776, 1.937,  3.100
-181.792, 76.690, 1.905,  3.150
-181.742, 76.607, 1.872,  3.200
-181.692, 76.522, 1.961,  3.250
-181.650, 76.429, 2.031,  3.300
-181.618, 76.333, 2.021,  3.350
-181.595, 76.235, 1.982,  3.400
-181.579, 76.138, 1.944,  3.450
-181.570, 76.041, 1.908,  3.500
-181.570, 75.944, 1.871,  3.550
-181.578, 75.847, 1.827,  3.600
-181.596, 75.752, 1.771,  3.650
-181.621, 75.658, 1.776,  3.700
-181.650, 75.560, 1.869,  3.750
-181.674, 75.457, 2.030,  3.800
-181.689, 75.349, 2.141,  3.850
-181.692, 75.240, 2.162,  3.900
-181.684, 75.134, 2.117,  3.950
-181.668, 75.031, 2.069,  4.000
-181.644, 74.931, 2.035,  4.050
-181.614, 74.834, 2.009,  4.100
-181.576, 74.738, 2.004,  4.150
-181.542, 74.639, 2.094,  4.200
-181.517, 74.534, 2.151,  4.250
-181.503, 74.428, 2.138,  4.300
-181.497, 74.322, 2.104,  4.350
-181.498, 74.217, 2.073,  4.400
-181.507, 74.113, 2.043,  4.450
-181.523, 74.009, 2.047,  4.500
-181.542, 73.903, 2.090,  4.550
-181.555, 73.794, 2.180,  4.600
-181.558, 73.683, 2.220,  4.650
-181.549, 73.572, 2.199,  4.700
-181.533, 73.465, 2.166,  4.750
-181.508, 73.359, 2.139,  4.800
-181.482, 73.253, 2.179,  4.850
-181.462, 73.143, 2.238,  4.900
-181.452, 73.031, 2.248,  4.950
-181.450, 72.919, 2.228,  5.000
-181.455, 72.808, 2.202,  5.050
-181.467, 72.697, 2.209,  5.100
-181.479, 72.584, 2.242,  5.150
-181.485, 72.470, 2.298,  5.200
-181.480, 72.354, 2.303,  5.250
-181.465, 72.241, 2.281,  5.300
-181.447, 72.127, 2.291,  5.350
-181.435, 72.012, 2.327,  5.400
-181.432, 71.895, 2.335,  5.450
-181.436, 71.778, 2.321,  5.500
-181.446, 71.662, 2.330,  5.550
-181.449, 71.543, 2.372,  5.600
-181.440, 71.425, 2.374,  5.650
-181.427, 71.306, 2.381,  5.700
-181.420, 71.187, 2.401,  5.750
-181.422, 71.067, 2.400,  5.800
-181.429, 70.946, 2.406,  5.850
-181.430, 70.825, 2.434,  5.900
-181.421, 70.703, 2.443,  5.950
-181.418, 70.580, 2.453,  6.000
-181.423, 70.457, 2.458,  6.050
-181.422, 70.334, 2.478,  6.100
-181.413, 70.210, 2.489,  6.150
-181.412, 70.085, 2.497,  6.200
-181.417, 69.960, 2.507,  6.250
-181.415, 69.834, 2.524,  6.300
-181.406, 69.707, 2.536,  6.350
-181.405, 69.580, 2.545,  6.400
-181.409, 69.452, 2.560,  6.450
-181.406, 69.324, 2.574,  6.500
-181.398, 69.195, 2.588,  6.550
-181.398, 69.065, 2.597,  6.600
-181.402, 68.935, 2.608,  6.650
-181.406, 68.803, 2.625,  6.700
-181.404, 68.672, 2.637,  6.750
-181.399, 68.540, 2.651,  6.800
-181.399, 68.407, 2.660,  6.850
-181.396, 68.273, 2.671,  6.900
-181.396, 68.139, 2.686,  6.950
-181.399, 68.004, 2.701,  7.000
-181.397, 67.869, 2.715,  7.050
-181.392, 67.733, 2.729,  7.100
-181.392, 67.596, 2.741,  7.150
-181.393, 67.458, 2.756,  7.200
-181.390, 67.320, 2.769,  7.250
-181.389, 67.181, 2.783,  7.300
-181.389, 67.041, 2.798,  7.350
-181.388, 66.901, 2.812,  7.400
-181.387, 66.760, 2.826,  7.450
-181.389, 66.618, 2.838,  7.500
-181.390, 66.476, 2.852,  7.550
-181.388, 66.333, 2.864,  7.600
-181.387, 66.189, 2.879,  7.650
-181.389, 66.045, 2.893,  7.700
-181.389, 65.900, 2.908,  7.750
-181.388, 65.754, 2.922,  7.800
-181.388, 65.607, 2.936,  7.850
-181.388, 65.460, 2.951,  7.900
-181.388, 65.312, 2.965,  7.950
-181.388, 65.163, 2.979,  8.000
-181.388, 65.014, 2.994,  8.050
-181.388, 64.864, 3.008,  8.100
-181.388, 64.713, 3.023,  8.150
-181.386, 64.561, 3.037,  8.200
-181.386, 64.409, 3.052,  8.250
-181.385, 64.256, 3.067,  8.300
-181.385, 64.102, 3.082,  8.350
-181.385, 63.947, 3.097,  8.400
-181.383, 63.792, 3.111,  8.450
-181.383, 63.636, 3.126,  8.500
-181.383, 63.479, 3.142,  8.550
-181.382, 63.321, 3.158,  8.600
-181.382, 63.163, 3.173,  8.650
-181.382, 63.004, 3.188,  8.700
-181.382, 62.844, 3.204,  8.750
-181.382, 62.683, 3.220,  8.800
-181.382, 62.522, 3.236,  8.850
-181.382, 62.359, 3.251,  8.900
-181.382, 62.196, 3.267,  8.950
-181.382, 62.032, 3.283,  9.000
-181.382, 61.868, 3.300,  9.050
-181.382, 61.702, 3.316,  9.100
-181.382, 61.536, 3.332,  9.150
-181.382, 61.369, 3.348,  9.200
-181.382, 61.201, 3.365,  9.250
-181.382, 61.032, 3.381,  9.300
-181.382, 60.862, 3.398,  9.350
-181.382, 60.692, 3.415,  9.400
-181.382, 60.520, 3.431,  9.450
-181.382, 60.348, 3.448,  9.500
-181.382, 60.175, 3.466,  9.550
-181.382, 60.001, 3.483,  9.600
-181.382, 59.827, 3.500,  9.650
-181.382, 59.651, 3.517,  9.700
-181.382, 59.475, 3.535,  9.750
-181.382, 59.297, 3.552,  9.800
-181.383, 59.119, 3.570,  9.850
-181.383, 58.940, 3.587,  9.900
-181.383, 58.760, 3.605,  9.950
-181.383, 58.579, 3.623, 10.000
-181.383, 58.397, 3.641, 10.050
-181.383, 58.215, 3.659, 10.100
-181.383, 58.031, 3.678, 10.150
-181.383, 57.847, 3.696, 10.200
-181.384, 57.661, 3.714, 10.250
-181.384, 57.475, 3.732, 10.300
-181.384, 57.288, 3.751, 10.350
-181.384, 57.100, 3.770, 10.400
-181.384, 56.910, 3.788, 10.450
-181.384, 56.720, 3.807, 10.500
-181.384, 56.529, 3.826, 10.550
-181.385, 56.337, 3.845, 10.600
-181.385, 56.145, 3.865, 10.650
-181.385, 55.951, 3.884, 10.700
-181.385, 55.756, 3.903, 10.750
-181.385, 55.560, 3.922, 10.800
-181.385, 55.363, 3.942, 10.850
-181.386, 55.166, 3.961, 10.900
-181.386, 54.967, 3.980, 10.950
-181.386, 54.767, 4.000, 11.000
-181.386, 54.567, 4.019, 11.050
-181.386, 54.365, 4.039, 11.100
-181.387, 54.162, 4.058, 11.150
